sim_0,sim_1,sim_2,sim_3
6.948081596901242,6.933819090916512,6.935235737133851,6.9172515334595035
6.993006089657858,6.983233631853507,6.977975233182369,6.967098271547549
7.04602227352029,7.000953715046656,7.041172061047368,6.996799820205985
7.089145944814186,7.050488310747831,7.08227881230302,7.048735511190785
7.111812284291602,7.091090831993922,7.125162374068555,7.104056746525496
7.16062655140769,7.162811548115787,7.166773355333769,7.1515023893299166
7.22451969690494,7.197651440681181,7.208504391363164,7.19068826435867
7.263369418593985,7.27153314255831,7.252900643157382,7.228673591745611
7.297705081149816,7.313648353833084,7.29864150831043,7.269396167755884
7.337035021895588,7.353890710786633,7.3302399222429315,7.318234445824807
7.378573970302293,7.372691286857412,7.356675981315636,7.364791683374289
7.40047195928895,7.417663801519701,7.384312588030156,7.3949014182309405
7.411492986640786,7.4179039110480645,7.401840583600615,7.422970222096511
7.434879654703289,7.436440366637646,7.406114533205466,7.4362963009206275
7.435335862807177,7.4459487039607986,7.429813343654843,7.450798916433721
7.429285102692443,7.439849921940393,7.4389855276382875,7.465589663380847
7.439057560496796,7.433583063250131,7.435479928524195,7.464100984305
7.452143529792549,7.443427553912992,7.435551961382705,7.452191551698222
7.427364226465544,7.457762092756232,7.42419478069116,7.418023965812244
7.405346182714707,7.443331510101649,7.412093260461692,7.403113164100937
7.411661063310639,7.435191797090161,7.394469221079888,7.397206469703219
7.396101965872752,7.401288331685382,7.378477926490948,7.379774517944105
7.378549959349456,7.384456653747172,7.347960005436079,7.3507452759650835
7.355115269381281,7.360877898061981,7.321980154467262,7.334057663743893
7.33292914896059,7.331440469884743,7.3069012760861,7.308822152312999
7.286780097609325,7.293263054875112,7.282698235627164,7.272637646388777
7.270884846831731,7.258591238979573,7.250499547873758,7.2340280342280945
7.234172099945111,7.224255576423742,7.218156794403335,7.204782693673545
7.21794069582781,7.21371476812863,7.189391672905511,7.1537834298493586
7.179691247959669,7.1710713158914565,7.14124971246884,7.1200240301615985
7.1500617321597435,7.125762647889461,7.099734775014971,7.108042564696312
7.122064961152679,7.104873118921928,7.071641960196562,7.07466734025393
7.084799962350827,7.069697073016828,7.030487187035238,7.034521027111726
7.064270597675836,7.0461423282844695,7.012671060030744,7.00777282565215
7.047991171652862,6.99274196917666,6.9943266920638525,6.98858807433599
7.014111717200919,6.959870974743839,6.956509441346765,6.968803049198922
6.994134604441163,6.936388262869991,6.927240089839381,6.9432794063339935
6.9593187228286055,6.917539664893537,6.906758747070064,6.928152506047159
6.953243951761035,6.891343715349193,6.886493502876273,6.905198035135708
6.933602992340987,6.865940127248446,6.862410517181518,6.875016267420547
6.910048247608629,6.8453867516206195,6.852325916990294,6.858208600435175
6.881451202780661,6.847691803092899,6.825697770294898,6.836526710024044
6.866948587267568,6.849804766942488,6.814964874377097,6.813548228159757
6.858088545670993,6.841905163459363,6.8036557155912245,6.809178234743561
6.834869954278344,6.839912254373956,6.787160190992723,6.777507787952552
