ssyk3,Computerisation Probability,swedish,english,2014,2015,2016,2017,2018,post-shock demand
818,0.81,Andra process- och maskinoperatörer,Other process and machine operators,8511,9038,8333,8791,7781,2611
819,0.7,Drifttekniker och processövervakare,Operating technicians and process supervisors,18922,18939,19093,20287,19543,10356
821,0.92,Montörer,Installers,53785,52317,49282,56305,61879,8744
831,0.64,Lokförare och bangårdspersonal,Locomotive driver and yard staff,5347,5339,5635,5618,5618,3572
832,0.58,"Bil-, motorcykel och cykelförare","Car, motorcycle and bicycle driver",18014,18389,18638,18899,18825,13966
833,0.54,Lastbils- och bussförare,Truck and bus driver,78337,79782,80359,81267,81346,66098
834,0.73,Maskinförare,Machine drivers,33370,35201,34912,36019,37492,17881
835,0.72,Matroser och jungmän m.fl.,Sailors and deckhands,1063,1078,1087,1433,1398,691
911,0.47,Städare och hemservicepersonal m.fl.,Cleaners and home service staff,70619,76003,75409,76708,78575,73563
912,0.61,"Tvättare, fönsterputsare och övriga rengöringsarbetare","Washers, window cleaners and other cleaning workers",3529,4075,5638,7056,7110,4898
921,0.88,Bärplockare och plantörer m.fl.,Berry pickers and planters,2600,2905,3140,2920,3144,666
931,0.82,Grovarbetare inom bygg och anläggning,Rough workers in construction and civil engineering,5076,5932,6510,6642,7375,2344
932,0.71,Handpaketerare och andra fabriksarbetare,Hand packers and other factory workers,12606,11737,11184,11656,11291,5784
933,0.53,Hamnarbetare och ramppersonal m.fl.,Harbor workers and ramp staff,6883,7261,7970,8355,10034,8330
941,0.89,"Snabbmatspersonal, köks- och restaurangbiträden m.fl.","Fast food staff, kitchen and restaurant assistants",68912,77998,77340,79024,79038,15357
952,0.92,Torg- och marknadsförsäljare,Square and market vendors,121,142,149,157,190,26
961,0.63,Återvinningsarbetare,Recycling workers,8379,8622,8875,8819,9000,5882
962,0.83,"Tidningsdistributörer, vaktmästare och övriga servicearbetare","Newspaper distributors, custodians and other service workers",38426,38701,39224,39889,39719,11927
