,cost,intersection,union,A_m,A_e,time,a,delta_u,delta_nu,gamma_u,timestep
241,2.7034256678575224,0.0,2.7034256678575224,0.5312088658347882,2.172216802022734,0 days 00:00:50.718170000,0.02,0.01,0.004,0.02,3.1
242,3.0240737767521697,0.0,3.0240737767521697,0.8518569747294357,2.172216802022734,0 days 00:00:50.800415000,0.03,0.01,0.004,0.02,3.1
243,3.3983034355899377,0.0,3.3983034355899377,1.2260866335672034,2.172216802022734,0 days 00:00:51.005960000,0.04,0.01,0.004,0.02,3.1
244,3.8262028821080643,0.0,3.8262028821080643,1.6539860800853299,2.172216802022734,0 days 00:00:50.315218000,0.05,0.01,0.004,0.02,3.1
245,2.3802957234987776,0.0,2.3802957234987776,0.2080789214760433,2.172216802022734,0 days 00:00:50.706371000,0.01,0.01,0.004,0.03,3.1
246,2.6609012111253896,0.0,2.6609012111253896,0.48868440910265554,2.172216802022734,0 days 00:00:51.226397000,0.02,0.01,0.004,0.03,3.1
247,3.0411111957546035,0.0,3.0411111957546035,0.8688943937318696,2.172216802022734,0 days 00:00:50.499897000,0.03,0.01,0.004,0.03,3.1
248,3.521747891328356,0.0,3.521747891328356,1.3495310893056218,2.172216802022734,0 days 00:00:51.414061000,0.04,0.01,0.004,0.03,3.1
249,4.103728416382377,0.0,4.103728416382377,1.9315116143596427,2.172216802022734,0 days 00:00:51.631737000,0.05,0.01,0.004,0.03,3.1
250,2.362326413887691,0.0,2.362326413887691,0.19010961186495712,2.172216802022734,0 days 00:00:50.235789000,0.01,0.01,0.004,0.04,3.1
251,2.6797391598671565,0.0,2.6797391598671565,0.5075223578444225,2.172216802022734,0 days 00:00:51.047080000,0.02,0.01,0.004,0.04,3.1
252,3.1472459919006583,0.0,3.1472459919006583,0.975029189877924,2.172216802022734,0 days 00:00:50.616583000,0.03,0.01,0.004,0.04,3.1
253,3.7673401740540884,0.0,3.7673401740540884,1.5951233720313542,2.172216802022734,0 days 00:00:51.101669000,0.04,0.01,0.004,0.04,3.1
254,4.5399031161796515,0.0014276163678389067,4.5413307325474905,2.3705415468925937,2.172216802022734,0 days 00:00:51.000714000,0.05,0.01,0.004,0.04,3.1
