,cost,intersection,union,A_m,A_e,time,a,delta_u,delta_ny,gamma_u,timestep
81,2.270385295724137,0.21193580636474113,2.482321102088878,0.5220401064308848,2.172216802022734,0 days 00:00:47.629725000,0.0175,0.009,0.006,0.05,3.1
82,2.297161888963667,0.2663845905521276,2.5635464795157947,0.6577142680451882,2.172216802022734,0 days 00:00:47.858010000,0.02,0.009,0.006,0.05,3.1
83,2.3296621031845204,0.32595429211624904,2.6556163953007696,0.809353885394286,2.172216802022734,0 days 00:00:47.754136000,0.0225,0.009,0.006,0.05,3.1
84,2.5754268902822974,0.027386710360796256,2.6028136006430937,0.4579835089811548,2.172216802022734,0 days 00:00:49.100698000,0.015,0.009,0.006,0.06,3.1
85,2.6573339942300938,0.05802059808746598,2.71535459231756,0.601158388382292,2.172216802022734,0 days 00:00:48.004607000,0.0175,0.009,0.006,0.06,3.1
86,2.743077575257309,0.09646279933302046,2.8395403745903294,0.7637863719006166,2.172216802022734,0 days 00:00:53.203364000,0.02,0.009,0.006,0.06,3.1
87,N/A,N/A,N/A,N/A,2.172216802022734,0 days 00:00:48.874944000,0.0225,0.009,0.006,0.06,3.1
88,N/A,N/A,N/A,N/A,2.172216802022734,0 days 00:00:49.071500000,0.015,0.009,0.006,0.075,3.1
89,N/A,N/A,N/A,N/A,2.172216802022734,0 days 00:00:49.926772000,0.0175,0.009,0.006,0.075,3.1
90,N/A,N/A,N/A,N/A,2.172216802022734,0 days 00:00:48.845817000,0.02,0.009,0.006,0.075,3.1
91,3.2823988377713103,0.004000442435473643,3.286399280206784,1.1181829206195213,2.172216802022734,0 days 00:00:48.747428000,0.0225,0.009,0.006,0.075,3.1
92,N/A,N/A,N/A,N/A,2.172216802022734,0 days 00:00:49.362301000,0.015,0.009,0.006,0.08,3.1
93,N/A,N/A,N/A,N/A,2.172216802022734,0 days 00:00:48.638928000,0.0175,0.009,0.006,0.08,3.1
94,3.1099892118321457,0.0,3.1099892118321457,0.9377724098094115,2.172216802022734,0 days 00:00:49.056601000,0.02,0.009,0.006,0.08,3.1
95,3.3365321272759236,0.0,3.3365321272759236,1.1643153252531895,2.172216802022734,0 days 00:00:49.212366000,0.0225,0.009,0.006,0.08,3.1
96,2.5197125950411317,0.0,2.5197125950411317,0.34749579301839745,2.172216802022734,0 days 00:01:51.201423000,0.015,0.01,0.004,0.05,3.1
97,2.6183314024664575,0.0,2.6183314024664575,0.4461146004437234,2.172216802022734,0 days 00:00:50.623188000,0.0175,0.01,0.004,0.05,3.1
98,2.729469148825712,0.0,2.729469148825712,0.557252346802978,2.172216802022734,0 days 00:00:48.774503000,0.02,0.01,0.004,0.05,3.1
99,2.852920677019323,0.000189560383898757,2.8531102374032216,0.6810829957643857,2.172216802022734,0 days 00:00:49.593556000,0.0225,0.01,0.004,0.05,3.1
100,2.4919850544272264,0.02936714858194536,2.521352203009172,0.3785025495683848,2.172216802022734,0 days 00:00:52.654311000,0.015,0.01,0.004,0.06,3.1
101,2.559637599114009,0.05316686913422894,2.612804468248238,0.49375453535973274,2.172216802022734,0 days 00:00:49.154039000,0.0175,0.01,0.004,0.06,3.1
102,2.6252750345358558,0.08582325311745635,2.711098287653312,0.624704738748035,2.172216802022734,0 days 00:00:49.698623000,0.02,0.01,0.004,0.06,3.1
103,2.6879616744702215,0.1279154548265466,2.815877129296768,0.7715757821005804,2.172216802022734,0 days 00:00:48.263212000,0.0225,0.01,0.004,0.06,3.1
104,1.9507826702712419,0.3295225931551379,2.2803052634263796,0.43761105455878413,2.172216802022734,0 days 00:00:45.456436000,0.015,0.01,0.004,0.075,3.1
105,1.9105810735367625,0.42007707534868555,2.330658148885448,0.5785184222113993,2.172216802022734,0 days 00:00:44.692192000,0.0175,0.01,0.004,0.075,3.1
106,1.8692945540631678,0.5212273243223438,2.3905218783855116,0.7395324006851214,2.172216802022734,0 days 00:00:46.070079000,0.02,0.01,0.004,0.075,3.1
107,1.8267022376471886,0.6332160735331563,2.459918311180345,0.9209175826907668,2.172216802022734,0 days 00:01:00.061029000,0.0225,0.01,0.004,0.075,3.1
108,1.7935039568556301,0.4185912947762827,2.212095251631913,0.45846974438546095,2.172216802022734,0 days 00:00:51.616864000,0.015,0.01,0.004,0.08,3.1
109,1.7195868351277188,0.5301240727937817,2.2497109079215005,0.6076181786925487,2.172216802022734,0 days 00:00:51.164868000,0.0175,0.01,0.004,0.08,3.1
110,1.6543667471984063,0.6480209113913381,2.3023876585897445,0.7781917679583499,2.172216802022734,0 days 00:00:51.697443000,0.02,0.01,0.004,0.08,3.1
111,1.629973180446262,0.7563490938394284,2.3863222742856904,0.9704545661023855,2.172216802022734,0 days 00:00:51.042866000,0.0225,0.01,0.004,0.08,3.1
112,2.446449974093104,0.0459662551603615,2.4924162292534655,0.366165682391094,2.172216802022734,0 days 00:00:50.602410000,0.015,0.01,0.005,0.05,3.1
113,2.5006353034070683,0.07129356445315685,2.5719288678602252,0.4710056302906484,2.172216802022734,0 days 00:00:50.855144000,0.0175,0.01,0.005,0.05,3.1
114,2.5537716731232623,0.10387338367457091,2.657645056797833,0.5893016384496716,2.172216802022734,0 days 00:00:51.788241000,0.02,0.01,0.005,0.05,3.1
115,2.605160196237729,0.1441542726346739,2.7493144688724027,0.7212519394843422,2.172216802022734,0 days 00:00:50.768329000,0.0225,0.01,0.005,0.05,3.1
